,PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE,POPULATION,GDP,GDP_PER_CAPITA
76,2002_NEBRASKA,NEBRASKA,2002,283789.0,2528312.0,199359.0,879775.0,1449178.0,2562812.0,1338653.0,667614.0,107557.0,365430.0,,,222.0,270.0,1728292,79684.7,0.04610603995158225
77,2002_NEVADA,NEVADA,2002,354869.0,2592064.0,152525.0,1582993.0,856546.0,2913023.0,1343669.0,738868.0,87437.0,604874.0,,,209.0,251.0,2173791,110165.0,0.05067874510475018
78,2002_NEW_HAMPSHIRE,NEW_HAMPSHIRE,2002,203072.0,1887115.0,85440.0,943592.0,858083.0,1956047.0,1047490.0,523976.0,57559.0,186830.0,,,,,1269089,59057.6,0.046535428169340365
79,2002_NEW_JERSEY,NEW_JERSEY,2002,1326196.0,18071365.0,720470.0,7336383.0,10014512.0,18155147.0,9328162.0,5983500.0,611449.0,1406121.0,,,,,8552643,486924.3,0.056932611357682066
80,2002_NEW_MEXICO,NEW_MEXICO,2002,317548.0,2537261.0,352892.0,1832491.0,351878.0,2542682.0,1195658.0,814180.0,123712.0,373224.0,,,208.0,254.0,1855309,74241.5,0.04001570627857678
81,2002_NEW_YORK,NEW_YORK,2002,2846068.0,35748163.0,2206496.0,17337735.0,16203932.0,39585780.0,23167459.0,9379511.0,1183476.0,4809068.0,,,222.0,264.0,19137800,1098776.8,0.057413955627083575
82,2002_NORTH_CAROLINA,NORTH_CAROLINA,2002,1296156.0,9701231.0,777970.0,5929203.0,2994058.0,9882399.0,5339340.0,2625671.0,523333.0,1133555.0,,,222.0,265.0,8326201,365828.8,0.0439370608516417
83,2002_NORTH_DAKOTA,NORTH_DAKOTA,2002,105936.0,846759.0,111063.0,303280.0,432416.0,838666.0,435631.0,224356.0,58523.0,57468.0,,,224.0,268.0,638168,26404.4,0.041375311830113705
84,2002_OHIO,OHIO,2002,1796603.0,17589983.0,982401.0,7811620.0,8795962.0,17608944.0,8477091.0,5665971.0,784876.0,2128307.0,,,222.0,268.0,11407889,514107.0,0.04506591885667892
85,2002_OKLAHOMA,OKLAHOMA,2002,622115.0,4370415.0,497834.0,2345888.0,1526693.0,4467944.0,2193731.0,1439564.0,445761.0,341768.0,,,213.0,262.0,3489080,131054.0,0.03756119091565685
