PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
1996_DELAWARE,DELAWARE,1996,108461.0,860410.0,48796.0,567123.0,244491.0,823530.0,447461.0,245924.0,34748.0,72077.0,,,,
1996_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,1996,79802.0,678874.0,57870.0,0.0,621004.0,703245.0,334893.0,312944.0,39956.0,15452.0,,,,
1996_FLORIDA,FLORIDA,1996,2175352.0,13684457.0,942159.0,6671487.0,6070811.0,13936240.0,6380643.0,4230355.0,992115.0,2042385.0,,,,
1996_GEORGIA,GEORGIA,1996,1311126.0,7764687.0,516518.0,4086584.0,3161585.0,7934236.0,4118122.0,2125775.0,509934.0,1042930.0,,,,
1996_HAWAII,HAWAII,1996,187104.0,1199019.0,91391.0,1079097.0,28531.0,1231550.0,671105.0,328131.0,103048.0,129266.0,,,,
1996_IDAHO,IDAHO,1996,243097.0,1134052.0,80486.0,718218.0,335348.0,1198223.0,642377.0,327291.0,47750.0,157468.0,,,,
1996_ILLINOIS,ILLINOIS,1996,1924970.0,12732129.0,728400.0,4191483.0,7812246.0,12423100.0,6303563.0,3960659.0,474624.0,1112689.0,,,,
1996_INDIANA,INDIANA,1996,975455.0,6422662.0,306715.0,3298257.0,2817690.0,6644035.0,3293900.0,1847383.0,302283.0,616866.0,,,,
1996_IOWA,IOWA,1996,502343.0,3258040.0,147878.0,1486426.0,1623736.0,3284185.0,1679091.0,931857.0,134624.0,242065.0,,,,
1996_KANSAS,KANSAS,1996,463008.0,2914544.0,140242.0,1658774.0,1115528.0,3007653.0,1468081.0,906796.0,169091.0,318829.0,,,,
1996_KENTUCKY,KENTUCKY,1996,639531.0,3622788.0,305059.0,2272684.0,1045045.0,3826435.0,1970377.0,1139539.0,228647.0,413638.0,,,,
