,0,1992_NAs,1993_NAs,1994_NAs,1995_NAs,1996_NAs,1997_NAs,1998_NAs,1999_NAs,2000_NAs,2001_NAs,2002_NAs,2003_NAs,2004_NAs,2005_NAs,2006_NAs,2007_NAs,2008_NAs,2009_NAs,2010_NAs,2011_NAs,2012_NAs,2013_NAs,2014_NAs,2015_NAs,2016_NAs,2017_NAs,2018_NAs,2019_NAs
164,G10_HP_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,39,2,3,0,3,1,5,0,53,0.0,53
165,G10_HP_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,40,1,2,0,4,1,3,1,53,0.0,53
166,G10_TR_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0.0,53
167,G10_TR_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,39,0,2,0,2,0,2,0,53,0.0,53
168,G10_WH_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
169,G10_WH_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
170,G11_AM_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
171,G11_AM_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
172,G11_AS_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
173,G11_AS_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
174,G11_BL_F,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
175,G11_BL_M,53,51,53,51,53,51,53,51,53,51,53,53,51,53,51,53,51,2,0,2,0,2,0,2,0,53,0.0,53
